index,Zone_Name,Postal_Code,Address,Postalcode,Latitude,Longitude,Covered_Parking,Electric_charger,Rating,Reservation_Count,Reserved_hours,Spot_Count,Hourly_Rate,Daily_Rate,Evening_Rate,24-Jul,Commuter,Eveninng_and_Weekends,Distance_from_center,Scaling,Bus_Nearby
0,210 Rue Masson - Uncovered,5,"210 Rue Masson, Winnipeg, MB, Canada, Winnipeg",R2H0H4,49.891195,-97.120443,0,1,2.82,16,4523,24,1,5,2,65,50,25,1.360281601,5,0
1,38 Carlton Street - Uncovered,68,38 Carlton Street,R3C1N9,49.8853,-97.14234,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.122282909,5,1
2,474 Henderson Hwy - Uncovered,18,474 Henderson Hwy,R2K2H8,49.92045,-97.11133,0,0,1.603575758,0,0,0,1,5,2,0,0,0,3.425212625,5,0
3,41(B) Balmoral Street - Uncovered,75,"41 Balmoral Street, Winnipeg, MB, Canada, Winnipeg",R3C1X3,49.882739,-97.152681,1,1,1,0,0,9,1,5,2,115,95,25,1.709215463,5,0
4,94 Roslyn Road - Standard Uncovered,102,"94 Roslyn Road, Winnipeg, MB, Canada, Winnipeg",R3L0G6,49.880122,-97.145895,0,0,2.8,3,256,4,1,5,2,99,75,25,1.746342749,5,0
5,Standard Uncovered,107,"130 Scott Street, Winnipeg, MB, Canada, Winnipeg",R3L0K8,49.879354,-97.140755,0,1,0,1,713,4,1,20,10,199,129,99,1.756092618,20,0
6,2211 McPhillips - Uncovered,30,"2211 McPhillips Street, Winnipeg, MB, Canada, Winnipeg",R2V3M5,49.950793,-97.148556,0,0,0,2,13,2,1,5,2,40,30,20,6.237428583,5,0
7,458 Balmoral St. - Covered,56,"458 Balmoral Street, Winnipeg, MB, Canada, Winnipeg",R3B3K5,49.893902,-97.152794,1,0,3.5,43,565,4,1,5,2,140,110,80,1.035684237,5,0
8,1295 Pembina Hwy - Uncovered,131,"1296 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T2B4,49.841284,-97.152857,0,0,5,0,0,2,1,5,2,25,20,15,6.069964716,5,0
9,149 Portage Avenue East - Motorcycle Parking,29,"149 Portage Avenue East, Winnipeg, MB, Canada, Winnipeg",R2P1X8,49.895144,-97.136186,0,0,3.5,1,2,4,2,10,8,0,0,0,0.162414128,5,1
10,Green Zone - PARK AND PAY ,12,"400 Tache Avenue, Winnipeg, MB, Canada, Winnipeg",R2H2A6,49.884712,-97.123313,0,1,2.89,5231,16803,175,4,17.5,3,1,1,50,1.582527085,4.375,0
11,169 Provencher Blvd. - Uncovered,4,"169 Provencher Blvd, Winnipeg, MB, Canada, Winnipeg",R2H0G2,49.892147,-97.122927,0,0,2,0,0,4,1,5,2,70,50,30,1.158771084,5,0
12,826 Silverstone Avenue - Uncovered,139,"826 Silverstone Avenue, Winnipeg, MB, Canada, Winnipeg",R3T2W6,49.796665,-97.14576,0,0,0,0,0,12,1,1,1,1,45,1,10.95545766,1,0
13,Green Zone - PARK AND PAY ,12,"400 Tache Avenue, Winnipeg, MB, Canada, Winnipeg",R2H2A6,49.884712,-97.123313,0,1,2.89,5231,16803,175,1,17.5,3,1,1,50,1.582527085,17.5,0
14, 339 Cumberland Avenue - Uncovered,43,"339 Cumberland Ave, Winnipeg, MB, Canada, Winnipeg",R3B,49.89631,-97.146341,0,1,5,9,40,46,2,1,5,0,0,0,0.581550534,0.5,0
15,154 Evanson St. - Uncovered,91,154 Evanson St.,R3G1B4,49.882083,-97.170793,0,0,1.603575758,0,0,0,1,5,2,50,35,25,2.730581467,5,0
16,1050 Henderson Hwy. - Uncovered,19,1050 Henderson Hwy.,R2K2M5,49.936985,-97.095924,0,0,1.603575758,0,0,0,1,5,2,1,25,1,5.566568059,5,0
17,561 Wellington Crescent - Uncovered,121,"561 Wellington Crescent, Winnipeg, MB, Canada, Winnipeg",R3M0A6,49.877142,-97.161896,0,0,0,0,0,6,1,5,2,90,70,25,2.607396996,5,0
18,50 Carlton Street - Uncovered,68,"50 Carlton Street, Winnipeg, MB, Canada, Winnipeg",R3C1N9,49.885546,-97.142404,0,1,0,0,0,13,1,5,2,175,140,60,1.096980668,5,1
19,176 Smith St. - Monthly Available,57,"176 Smith Street, Winnipeg, MB, Canada, Winnipeg",R3C,49.890054,-97.140332,0,0,0,0,0,2,6,18,18,1,225,1,0.574555577,3,1
20,603 Wellington Crescent - Uncovered,122,"603 Wellington Crescent, Winnipeg, MB, Canada, Winnipeg",R3M0A7,49.877602,-97.164073,0,0,4.75,0,0,13,1,5,2,55,45,25,2.673083353,5,0
21,572/578 Corydon Avenue - Uncovered,113,"572/578 Corydon Avenue, Winnipeg, MB, Canada, Winnipeg",R3L0P2,49.872736,-97.146664,0,1,0,0,0,16,1,5,2,75,50,35,2.552946967,5,0
22,207 Carlton St. - Event Parking,69,"207 Carlton Street, Winnipeg, MB, Canada, Winnipeg",R3C1P5,49.890452,-97.144332,0,0,0,24,80,26,7,18,17,0,0,0,0.664798404,2.571428571,1
23,318 Assiniboine Ave. - Uncovered,62,"318 Assiniboine Avenue, Winnipeg, MB, Canada, Winnipeg",R3C0X6,49.884931,-97.137914,0,1,0,0,0,12,2,10,5,150,110,75,1.128839419,5,1
24,145/149 Arlington St. - Uncovered,94,145/149 Arlington St.,R3G1Y6,49.882423,-97.169403,0,0,1.603575758,0,0,0,1,5,2,50,35,35,2.626154015,5,0
25,20 Lyndale Drive - Uncovered | 24/7,16,"20 Lyndale Drive, Winnipeg, MB, Canada, Winnipeg",R2H3H2,49.880883,-97.130631,0,0,2.5,1,242,4,1,5,2,80,60,35,1.674782084,5,0
26,324 Logan Ave - Surface Parking 24/7,38,"324 Logan Avenue, Winnipeg, MB, Canada, Winnipeg",R3A0L5,49.903724,-97.140481,0,0,5,2,188,15,1.5,6,3,120,90,50,0.972433763,4,0
27,225 Princess St. - Uncovered,49,"225 Princess Street, Winnipeg, MB, Canada, Winnipeg",R3B1L5,49.901664,-97.139308,0,0,0,34,123,14,3,12,5,180,110,90,0.735008634,4,0
28,80 Lombard Ave. - Rear Parking,47,80 Lombard Ave.,R3B0Y3,49.89587,-97.133676,0,0,1.603575758,0,0,0,3,16,6,210,170,1,0.353216684,5.333333333,0
29,482 Balmoral St. - Assigned Stalls,52,"482 Balmoral Street, Winnipeg, MB, Canada, Winnipeg",R3B2P8,49.894701,-97.152447,0,0,1,3,14,4,1,5,4,120,100,70,1.00341702,5,0
30,590 University Crescent - Game Day,144,590 University Crescent,R3T6G9,49.803489,-97.135049,0,0,4.5,35,781,27,1,5,9,1,65,1,10.18704155,5,0
31,30 University Crescent- Scramble Parking,144,30 University Crescen,R3T6G9,49.818986,-97.150901,0,0,1.603575758,0,0,0,9,2,9,0,0,0,8.507875897,0.222222222,0
