address,postalCode,latitude,longitude,lowestMonthlyRate,coveredParking,busNearby,distanceFromCenter,usage,rangePointFive,rangeOnePointZero,rangeOnePointFive,rangeTwoPointZero,hourlyRate
165 Aberdeen Avenue,R2W 1T9,49.9163635,-97.1314242,182.8192105,0,1,2.419853152,0,0,50,50,41.66666667,0.25
939 Main Street,R2W3P2,49.9110579,-97.1325636,45,0,1,1.826334675,1,50,50,41.17647059,50,1
35 Tecumseh Street,R3E2B3,49.907072,-97.161396,182.8192105,0,1,2.116508453,1,66.66666667,71.42857143,48.93617021,52.17391304,4
701 William Avenue,R3E 0M1,49.905412,-97.1594346,182.8192105,1,0,1.891927049,0,78.57142857,78.26086957,51.2195122,53.57142857,3
647 William ave.,R3A0K1,49.9042372,-97.1551203,150,0,1,1.56936977,1,80.95238095,75,53.93939394,53.515625,3
820 Sherbrook Street,R3E 0M1,49.9037864,-97.1589934,182.8192105,0,0,1.761446617,1,82.75862069,77.77777778,55.70175439,53.69532428,4
10 Emily Street,R3E 1Y7,49.9035919,-97.1609108,182.8192105,1,0,1.866618533,1,83.78378378,79.62962963,56.17977528,54,4
892 Sherbrook Street,R3A 1M9,49.9031714,-97.1564629,100,0,1,1.573037089,1,84.09090909,77.6119403,56.25,53.83043922,3
790 SHERBROOK STREET,R3A1M3,49.9021842,-97.1574223,182.8192105,0,1,1.57192744,1,84.31372549,78.20512821,56.33484163,53.65434222,4
650 Main,R3B 1E2,49.9031862,-97.1357189,130,0,1,0.92269124,1,73.91304348,66.0130719,54.9122807,53.20560059,1.5
777 Sherbrook Street,R3A 1M2,49.9014317,-97.1567509,95,0,1,1.489078255,1,75,64.77272727,55.27859238,53.07443366,3
287 Alexander St,R3B 1L6,49.9024843,-97.1391877,95,0,1,0.825342644,0,66.66666667,60.44776119,54.95169082,52.84319357,3
257 King Street,R3B 1J6,49.9024994,-97.1375158,95,0,1,0.828046953,0,61.01694915,58.28729282,54.50777202,52.63429752,2
231 Princess Street,R3B 1L6,49.902028,-97.1395968,100,0,0,0.777260746,1,56.84931507,56.76855895,54.375,52.48592871,2
348 ELGIN AVENUE,R3A 0K6,49.9011587,-97.1429036,185,0,0,0.747683842,0,54.02298851,55.57522124,54.03535742,52.36254296,4
201 Princess Street,R3B 3E9,49.900911,-97.1404361,205,0,1,0.664110592,0,52.35849057,54.53194651,53.72124493,52.25832013,4
189 Rupert Avenue,R3B 0N3,49.9002501,-97.1356634,215,0,0,0.608890545,0,51.171875,53.89527458,53.40632603,52.16911765,4
55 Duncan Street,R3B 0Y5,49.9006,-97.1314649,125,1,0,0.792177444,0,50.72463768,53.30243337,53.00393038,52.06327373,4
127 Princess Street,R3B 1K8,49.89909503,-97.14135603,215,0,0,0.492862926,0,51.74418605,52.79187817,52.76229093,52.01417983,4
160 Alexander Avenue,R3B 0L3,49.9002058,-97.1321645,145,0,1,0.726630446,1,51.63934426,52.54865616,52.55198488,51.92716237,4
337 McDermot Avenue,R3A 0A3,49.89847413,-97.14434438,220,0,0,0.566467275,0,52.14285714,52.41210139,52.3830156,51.90489831,4
141 James Avenue,R3B 0N8,49.89934837,-97.13483466,215,0,0,0.54099724,1,51.50214592,52.131638,52.15987081,51.84481823,4
406 NOTRE DAME AVENUE,R3B 1R1,49.8978551,-97.1483707,99,0,1,0.774779717,1,52.4,52.21540559,52.05992509,51.82895415,3
116 King Street,R3B 1H6,49.8983069,-97.1410159,231,0,0,0.403410913,0,52.7972028,52.08983157,51.9412382,51.80279617,3
100 King Street,R3B 1H8,49.8981276,-97.1415202,195,0,1,0.404221002,0,53.1152648,52.06659013,51.86885246,51.79031126,4
