propertyName,zoneGuid,zoneName,rateHourly,rateDaily,rateEvening,rateFull,commuter,eveningsWeekends
210 Rue Masson,A3D1339E-7EF7-487B-A458-11152F32F6B2,210 Rue Masson - Uncovered,1,5,2,65,50,25
38 Carlton Street,503705D9-8EFB-4997-B2F8-630C3F6279B2,38 Carlton Street - Uncovered,1,5,2,0,0,0
474 Henderson,E36D572A-AC53-4A49-90A0-CFBAB88E750E,474 Henderson Hwy - Uncovered,1,5,2,0,0,0
41(B) Balmoral Street Winnipeg,EB818D98-7EE9-4F4B-B768-CEB0AF6ABA43,41(B) Balmoral Street - Uncovered,1,5,2,115,95,25
94 Roslyn Rd,B167EC6F-9F0B-4F01-B7DD-E7A92B26BF48,94 Roslyn Road - Standard Uncovered,1,5,2,99,75,25
130 Scott St.,CD0A4B1D-6703-4F83-BC24-1C620D7B2ADF,Standard Uncovered,1,20,10,199,129,99
2211 McPhillips,91FAD031-1E56-4E41-A8A1-E83FFFD7EB0C,2211 McPhillips - Uncovered,1,5,2,40,30,20
458 Balmoral St.,C0053857-116C-4D2D-8EFF-AF55E73CDEC5,458 Balmoral St. - Covered,1,5,2,140,110,80
1295 Pembina Hwy,E4C6C8B7-78F6-42C6-BA34-6DBB27273401,1295 Pembina Hwy - Uncovered,1,5,2,25,20,15
154 Evanson Street,AEE02836-7C8C-4CB9-A41C-EA35F777259B,154 Evanson St. - Lot Management,3,0,0,0,0,0
Motorcycle Parking Only  - 149 Portage Ave E,6756DAB5-E498-4D08-81CB-A467559D2BF9,149 Portage Avenue East - Motorcycle Parking,2,10,8,0,0,0
400 Tache Ave,BF1647CB-2093-41B0-868E-48D81924C62C,Green Zone - PARK AND PAY ,4,17.5,3,1,1,50
200 Burning Glass Rd.,CCF89CBC-6517-4A03-A5C1-FCAF1C02060E,200 Burning Glass Rd. - Visitor Parking,0,0,0,0,0,0
169 Provencher Blvd.,97CDA70C-932B-415C-B3B0-9AB18939E3A2,169 Provencher Blvd. - Uncovered,1,5,2,70,50,30
826 Silverstone Avenue,80899AD9-940C-4B79-9C20-C5ABDC700405,826 Silverstone Avenue - Uncovered,1,1,1,1,45,1
400 Tache Ave,BF1647CB-2093-41B0-868E-48D81924C62C,Green Zone - PARK AND PAY ,1,17.5,3,1,1,50
339 Cumberland Ave,C6CBF914-6C22-41F8-BF51-49C8D996FB04, 339 Cumberland Avenue - Uncovered,2,1,5,0,0,0
154 Evanson,A6DD14E3-A811-48E7-9A43-F35F003E21A2,154 Evanson St. - Uncovered,1,5,2,50,35,25
1050 Henderson Hwy,E6130EBC-2101-484E-9BD7-D5DB81DB0678,1050 Henderson Hwy. - Uncovered,1,5,2,1,25,1
561 Wellington Crescent,DCBA497F-28E7-4353-990A-8755C334C10B,561 Wellington Crescent - Uncovered,1,5,2,90,70,25
50 Carlton Street,9753F478-AF90-414F-A6A1-22BA4E892F41,50 Carlton Street - Uncovered,1,5,2,175,140,60
7 & 11 Evergreen Towers - Visitors Only ,5FC1929A-B582-44B9-9C01-1BB43B31446A,7 & 11 Evergreen Place - Uncovered,2.5,0,10,0,0,0
176 Smith St. ,24623CD5-EE21-4187-BFC4-2981F0A8C43A,176 Smith St. - Monthly Available,6,18,18,1,225,1
603 Wellington Crescent,180C325A-8E2C-4473-9B74-A164D7D17267,603 Wellington Crescent - Uncovered,1,5,2,55,45,25
572/578 Corydon Ave,BF0F1093-14EF-42DB-BF6C-343015B0116E,572/578 Corydon Avenue - Uncovered,1,5,2,75,50,35
207 Carlton St. ,E01CAFB8-878E-46DE-85CF-11B9C65FF9CE,207 Carlton St. - Event Parking,7,18,17,0,0,0
1050 Moncton Ave.,F9A4E037-5EF4-4120-8421-4FAF5A47D72A,1050 Moncton Ave. - Guest Parking,1,0,0,0,0,0
139 Tuxedo,6D2DDD4F-43B5-4242-B71C-0A1EE90F65F2,139 Tuxedo - Prebooking,20,0,0,0,0,0
318 Assiniboine Ave. ,97DD6374-853B-4B2C-9279-2EE2CA273A89,318 Assiniboine Ave. - Uncovered,2,10,5,150,110,75
990 Markham Road,C7C64247-73FB-4C11-942E-7A757F16A840,990 Markham Road - Guest Parking,1,0,0,0,0,0
145/149 Arlington Street,9050782D-CD46-4943-B7F4-20A1F4C57860,145/149 Arlington St. - Uncovered,1,5,2,50,35,35
1205 Grant Avenue,1B2D3087-1B6A-4B8B-A809-0380708A331A,1205 Grant Ave. - Guest Parking,1,0,0,0,0,0
20 Lyndale Drive,6BCB828A-2795-4E19-A0A2-1FE5EF633701,20 Lyndale Drive - Uncovered | 24/7,1,5,2,80,60,35
324 Logan Ave.,211E0766-8866-4260-BBAE-92849B5C6B8A,324 Logan Ave - Surface Parking 24/7,1.5,6,3,120,90,50
50 Southpark Drive,8E1CBFF8-DD42-4290-B607-643EAD46A5B1,50 Southpark Drive - Guest Parking,1,0,0,0,0,0
225 Princess St. ,37DC449A-2F4B-4BD4-A408-FEA5A06DA4B7,225 Princess St. - Uncovered,3,12,5,180,110,90
1661 Portage Ave - Paid Daily + Monthly ,33DB321A-4E05-456D-AF00-031AD80849E5,1661 Portage Ave - Scramble No Plug - Paid,3,0,0,1,65,1
100 Prevette Street,D9143A1B-FD43-4ECA-898B-A716EDE49408,100 Prevette St. - Guest Parking,1,0,0,0,0,0
80 Lombard ave.,7EE241FE-4818-46F7-A34B-8F1293248CBE,80 Lombard Ave. - Rear Parking,3,16,6,210,170,1
482 Balmoral St. ,62987E0B-39A9-4F40-B880-6ACF548825A3,482 Balmoral St. - Assigned Stalls,1,5,4,120,100,70
590 University Crescent,2ED2EE13-F24E-4B44-9DCF-4544A78D4DC0,590 University Crescent - Game Day,1,5,9,1,65,1
30 University Crescent,1D96AA3D-66C4-4D2E-9FBA-4E005C33D85D,30 University Crescent- Scramble Parking,9,2,9,0,0,0
590 University Crescent,95F548C3-BE3C-4022-95EF-0E78B6C06948,590 University Crescent - Uncovered,1,5,9,1,1,1
297 Furby St. ,E645B932-AF46-48F6-ADBD-88BDC2197017,297 Furby Street - Uncovered,1,1,1,70,50,35
590 University Crescent,95F548C3-BE3C-4022-95EF-0E78B6C06948,590 University Crescent - Uncovered,6.5,5,9,1,1,1
85 Hargrave St. ,E5B370AC-A8F5-41BD-B0CD-989FAD106B6A,85 Hargrave St. - Lot Management,3,0,0,0,0,0
800 Corydon,3988CF03-9581-42D4-B8E5-C4418067DE8D,800 Corydon - Uncovered,1,5,2,0,0,0
66 Killarney Avenue,733E322E-D56A-4C04-83F5-BD7E89AFD373,66 Killarney Avenue - Guest Parking,1,0,0,0,0,0
1661 Portage Ave - Paid Daily + Monthly ,620FA094-27D2-4247-9A46-A160F8EFCF72,1661 Portage Ave - Hub International Bulk pay,3,0,0,7870,1,1
277 River Avenue,E644B6C5-6C7E-483A-8303-ECB6AD126E44,277 River Avenue - Uncovered,1,5,2,0,0,0
275 Stradbrook Ave,9786E741-65EE-43E9-9A1C-938BD6083BD0,275 Stradbrook Avenue | Uncovered - Pre-booking,1,5,2,80,60,50
491 Stradbrook Avenue,BF3D4933-BE9A-4FB1-A85C-ADEB47BABF1F,491 Stradbrook Avenue - Uncovered,1,5,2,99,75,25
201 Thomas Berry St. ,EB79F0E4-D984-4F73-9B60-FA65D12C3F9F,201 Thomas Berry St. - Uncovered,3,12,7,150,100,50
50 Hargrave,ACE1B67D-DF7E-4BCF-99CF-E70A36A6392F,50 Hargrave - Uncovered,1,5,2,0,0,0
691 Sherbrook St. ,9F9A5AB3-0DED-486A-90D1-C742B19A0137,691 Sherbrook Street - Uncovered,1,5,2,0,0,0
133 Matheson Ave East,7F6FE858-1EC2-4649-A706-D80EFF22F10F,133 Matheson Ave East - Uncovered,1,5,2,0,0,0
282 Furby St.,4D876A67-6820-41DF-9A37-76C2B50F1542,282 Furby Street - Uncovered,1,5,2,80,60,45
438 Aulneau Street ,A4C11979-F7CC-4967-8698-9DF7BEF7D714,438 Aulneau Street - Uncovered,1,5,2,0,0,0
303 Stradbrook Ave,9B18FD19-2EFD-4CFE-81E1-395FEBF2C6D5,303 Stradbrook Avenue - Uncovered,1,5,2,0,0,0
275 Nassau Street ,FA8D7164-32C3-4A41-B400-D581ABE830CC,275 Nassau Street - Uncovered,1,5,2,50,35,35
30 University Crescent,1D96AA3D-66C4-4D2E-9FBA-4E005C33D85D,30 University Crescent- Scramble Parking,1,2,9,0,0,0
462 Hargrave St. ,FB6129EF-1693-4295-814D-38906AB9749B,462 Hargrave St. - Gloria 11,3,0,0,1,60,1
1695 Pembina Hwy,3FE30EDE-9385-4EE2-96B6-7637D57C0E29,1695 Pembina Hwy. - Uncovered,1,5,2,0,0,0
